,Player,Pos,Tm,Age,Tm,AST,STL,BLK,PTS,FG,FGA
385,Daryl Macon,SG,MIA,24,MIA,1,0,0,3,1,3
386,J.P. Macura,SG,CLE,24,CLE,0,0,0,0,0,0
387,Josh Magette,PG,ORL,30,ORL,5,3,1,12,5,15
388,Ian Mahinmi,C,WAS,33,WAS,49,31,44,283,104,210
389,Thon Maker,C,DET,22,DET,43,25,39,281,93,193
390,Terance Mann,SG,LAC,23,LAC,53,11,5,99,37,79
391,Boban Marjanović,C,DAL,31,DAL,20,8,10,289,121,211
392,Lauri Markkanen,PF,CHI,22,CHI,74,42,23,737,251,591
393,Caleb Martin,SF,CHO,24,CHO,23,12,7,111,37,84
394,Cody Martin,SF,CHO,24,CHO,95,39,9,238,89,207
395,Jeremiah Martin,PG,BRK,23,BRK,18,7,2,64,24,53
396,Kelan Martin,SF,MIN,24,MIN,23,7,9,197,71,181
397,Frank Mason III,PG,MIL,25,MIL,29,5,1,62,23,51
398,Garrison Mathews,SG,WAS,23,WAS,10,8,1,98,24,56
399,Wesley Matthews,SG,MIL,33,MIL,92,38,9,494,167,422
400,Luc Mbah a Moute,PF,HOU,33,HOU,0,2,0,5,2,5
401,Patrick McCaw,SF,TOR,24,TOR,79,39,4,170,67,162
402,CJ McCollum,SG,POR,28,POR,310,54,42,1556,611,1356
403,T.J. McConnell,PG,IND,27,IND,355,56,11,464,212,411
404,Jalen McDaniels,PF,CHO,22,CHO,13,8,3,89,33,70
405,Doug McDermott,PF,IND,28,IND,78,12,5,710,267,547
406,JaVale McGee,C,LAL,32,LAL,37,36,94,446,195,306
407,Rodney McGruder,SG,LAC,28,LAC,36,26,8,187,72,181
408,Alfonzo McKinnie,SF,CLE,27,CLE,14,23,8,182,73,171
409,Jordan McLaughlin,PG,MIN,23,MIN,125,34,4,229,87,178
410,Ben McLemore,SG,HOU,26,HOU,58,45,16,715,242,545
411,Jordan McRae,SG,TOT,28,TOT,93,21,16,426,149,366
412,Jordan McRae,SG,WAS,28,WAS,82,19,15,370,133,317
413,Jordan McRae,SG,DEN,28,DEN,4,2,1,9,2,6
414,Jordan McRae,SG,DET,28,DET,7,0,0,47,14,43
415,Nicolò Melli,C,NOP,29,NOP,82,34,23,395,136,323
416,De'Anthony Melton,PG,MEM,21,MEM,175,77,20,455,161,401
417,Chimezie Metu,PF,SAS,22,SAS,10,3,6,58,24,42
418,Khris Middleton,SF,MIL,28,MIL,265,53,7,1297,471,947
419,Eric Mika,PF,SAC,25,SAC,0,0,0,6,2,3
420,C.J. Miles,SG,WAS,32,WAS,12,10,4,64,19,59
421,Malcolm Miller,SF,TOR,26,TOR,11,5,2,35,12,29
422,Patty Mills,PG,SAS,31,SAS,118,53,6,767,258,598
423,Paul Millsap,PF,DEN,34,DEN,83,44,30,591,211,438
424,Shake Milton,SG,PHI,23,PHI,104,20,7,377,134,277
425,Donovan Mitchell,SG,UTA,23,UTA,294,70,14,1655,602,1342
426,Naz Mitrou-Long,SG,IND,26,IND,8,1,1,14,6,17
427,Adam Mokoka,SG,CHI,21,CHI,4,4,0,32,12,28
428,Malik Monk,SG,CHO,21,CHO,114,25,16,564,212,488
429,Matt Mooney,SG,CLE,22,CLE,1,2,1,2,1,4
430,E'Twaun Moore,SG,NOP,30,NOP,78,32,11,466,186,437
431,Ja Morant,PG,MEM,20,MEM,488,58,18,1193,447,937
432,Juwan Morgan,PF,UTA,22,UTA,6,1,2,36,15,26
433,Marcus Morris,SF-PF,TOT,30,TOT,86,47,30,1033,355,810
434,Marcus Morris,SF,NYK,30,NYK,59,34,17,841,281,636
435,Marcus Morris,PF,LAC,30,LAC,27,13,13,192,74,174
436,Markieff Morris,PF,TOT,30,TOT,77,31,17,560,203,458
437,Markieff Morris,PF,DET,30,DET,69,26,11,486,175,389
438,Markieff Morris,PF,LAL,30,LAL,8,5,6,74,28,69
439,Monte Morris,PG,DEN,24,DEN,255,55,17,660,260,566
440,Johnathan Motley,PF,LAC,24,LAC,8,3,0,28,11,15
441,Emmanuel Mudiay,PG,UTA,23,UTA,116,24,10,395,151,327
442,Mychal Mulder,SG,GSW,25,GSW,8,2,1,77,26,67
443,Dejounte Murray,PG,SAS,23,SAS,271,111,17,720,294,637
444,Jamal Murray,PG,DEN,22,DEN,284,67,17,1091,408,894
445,Džanan Musa,SF,BRK,20,BRK,43,15,1,192,64,172
446,Mike Muscala,C,OKC,28,OKC,40,9,12,226,77,189
447,Sviatoslav Mykhailiuk,SF,DET,22,DET,106,41,4,504,166,405
448,Abdel Nader,SF,OKC,26,OKC,38,23,20,345,123,263
449,Larry Nance Jr.,C,CLE,27,CLE,123,56,22,564,229,431
450,Shabazz Napier,PG,TOT,28,TOT,262,69,11,578,188,456
451,Shabazz Napier,PG,MIN,28,MIN,187,40,7,347,114,283
452,Shabazz Napier,PG,WAS,28,WAS,75,29,4,231,74,173
453,Raul Neto,PG,PHI,27,PHI,95,24,6,275,101,222
454,Malik Newman,SG,CLE,22,CLE,0,0,0,2,0,2
455,Georges Niang,PF,UTA,26,UTA,44,18,5,392,141,322
456,Joakim Noah,C,LAC,34,LAC,7,1,1,14,4,8
457,Nerlens Noel,C,OKC,25,OKC,57,59,91,449,184,269
458,Zach Norvell,SG,TOT,22,TOT,3,2,0,10,3,12
459,Zach Norvell,SG,LAL,22,LAL,0,0,0,0,0,1
460,Zach Norvell,SG,GSW,22,GSW,3,2,0,10,3,11
461,Jaylen Nowell,SG,MIN,20,MIN,19,3,1,57,19,53
462,Frank Ntilikina,PG,NYK,21,NYK,172,54,16,357,131,333
463,Kendrick Nunn,SG,MIA,24,MIA,220,56,15,1024,401,914
464,Jusuf Nurkić,C,POR,25,POR,32,11,16,141,54,109
465,David Nwaba,SF,BRK,27,BRK,8,11,12,104,37,71
466,Royce O'Neale,PF,UTA,26,UTA,180,59,32,450,158,365
467,Kyle O'Quinn,C,PHI,29,PHI,51,7,24,102,42,85
468,Semi Ojeleye,PF,BOS,25,BOS,37,21,5,236,80,196
469,Jahlil Okafor,C,NOP,24,NOP,37,7,22,243,101,162
470,Elie Okobo,PG,PHO,22,PHO,115,24,4,219,72,181
471,Josh Okogie,SG,MIN,21,MIN,99,68,26,533,170,398
472,KZ Okpala,SF,MIA,20,MIA,1,2,1,7,3,5
473,Victor Oladipo,SG,IND,27,IND,56,17,4,275,97,246
474,Kelly Olynyk,C,MIA,28,MIA,116,45,23,549,184,398
475,Miye Oni,SG,UTA,22,UTA,4,4,2,35,12,32
476,Cedi Osman,SF,CLE,24,CLE,154,54,16,718,266,609
477,Kelly Oubre Jr.,SF,PHO,24,PHO,85,71,40,1046,373,826
478,Tariq Owens,PF,PHO,24,PHO,0,1,0,4,1,5
479,Jeremy Pargo,PG,GSW,33,GSW,8,1,0,25,11,22
480,Jabari Parker,PF,TOT,24,TOT,68,45,16,531,219,429
481,Jabari Parker,PF,ATL,24,ATL,58,42,15,480,198,393
482,Jabari Parker,PF,SAC,24,SAC,10,3,1,51,21,36
483,Chandler Parsons,SF,ATL,31,ATL,3,4,1,14,5,18
484,Eric Paschall,PF,GSW,23,GSW,127,32,13,837,318,640
485,Anžejs Pasečņiks,C,WAS,24,WAS,18,9,12,156,61,116
486,Patrick Patterson,PF,LAC,30,LAC,41,7,3,292,95,233
487,Justin Patton,C,OKC,22,OKC,2,0,0,9,4,10
488,Chris Paul,PG,OKC,34,OKC,472,111,11,1232,434,887
489,Cameron Payne,PG,PHO,25,PHO,24,8,2,87,33,68
490,Elfrid Payton,PG,NYK,25,NYK,323,70,17,449,193,440
491,Gary Payton II,PG,WAS,27,WAS,48,33,7,113,48,116
492,Norvel Pelle,C,PHI,26,PHI,8,3,31,57,25,48
493,Theo Pinson,SG,BRK,24,BRK,56,17,4,120,45,155
494,Mason Plumlee,C,DEN,29,DEN,154,33,38,437,177,288
495,Jakob Poeltl,C,SAS,24,SAS,116,37,95,372,166,266
496,Vincent Poirier,C,BOS,26,BOS,8,2,9,41,17,36
497,Shamorie Ponds,PG,TOR,21,TOR,2,0,1,9,3,5
498,Jordan Poole,SG,GSW,20,GSW,134,35,10,503,167,502
499,Kevin Porter Jr.,SF,CLE,19,CLE,109,46,14,498,186,421
500,Michael Porter Jr.,PF,DEN,21,DEN,46,27,25,512,195,383
501,Otto Porter,SF,CHI,26,CHI,25,15,6,167,62,140
502,Bobby Portis,C,NYK,24,NYK,98,32,18,668,265,589
503,Kristaps Porziņģis,PF,DAL,24,DAL,102,41,115,1164,398,932
504,Dwight Powell,C,DAL,28,DAL,59,34,22,376,146,229
505,Norman Powell,SG,TOR,26,TOR,91,60,21,830,296,598
506,Chasson Randle,PG,GSW,26,GSW,5,2,0,5,0,4
507,Julius Randle,PF,NYK,25,NYK,198,51,22,1248,463,1006
508,Josh Reaves,SG,DAL,22,DAL,3,0,0,8,3,9
509,Cam Reddish,SF,ATL,20,ATL,87,62,28,610,213,554
510,J.J. Redick,SG,NOP,35,NOP,119,20,10,917,286,631
511,Naz Reid,C,MIN,20,MIN,35,19,22,269,100,243
512,Josh Richardson,SG,PHI,26,PHI,162,52,36,755,278,646
513,Austin Rivers,SG,HOU,27,HOU,113,49,10,596,211,501
514,Andre Roberson,SG,OKC,28,OKC,4,1,3,20,8,29
515,Duncan Robinson,SF,MIA,25,MIA,102,35,19,983,323,687
516,Glenn Robinson III,SF,TOT,26,TOT,96,54,16,727,288,592
517,Glenn Robinson III,SF,GSW,26,GSW,85,45,14,619,244,507
518,Glenn Robinson III,SF,PHI,26,PHI,11,9,2,108,44,85
519,Jerome Robinson,SG,TOT,22,TOT,87,28,17,319,115,310
520,Jerome Robinson,SG,LAC,22,LAC,46,13,8,122,46,136
521,Jerome Robinson,SG,WAS,22,WAS,41,15,9,197,69,174
522,Justin Robinson,PG,WAS,22,WAS,7,0,1,13,5,12
523,Mitchell Robinson,C,NYK,21,NYK,36,52,119,590,253,341
524,Isaiah Roby,SF,OKC,21,OKC,0,0,0,0,0,1
525,Rajon Rondo,PG,LAL,33,LAL,240,40,2,342,137,328
526,Derrick Rose,PG,DET,31,DET,278,40,16,904,369,753
527,Terrence Ross,SG,ORL,28,ORL,82,77,24,1016,341,846
528,Terry Rozier,PG,CHO,25,CHO,259,61,10,1134,398,941
529,Ricky Rubio,PG,PHO,29,PHO,570,94,11,847,287,692
530,D'Angelo Russell,PG,TOT,23,TOT,285,48,13,1039,360,846
531,D'Angelo Russell,PG,GSW,23,GSW,206,31,9,779,273,635
532,D'Angelo Russell,PG,MIN,23,MIN,79,17,4,260,87,211
533,Domantas Sabonis,C,IND,23,IND,310,47,30,1147,458,848
534,Luka Šamanić,PF,SAS,20,SAS,6,0,2,16,5,16
535,JaKarr Sampson,SF,IND,26,IND,21,16,12,156,68,115
536,Dario Šarić,PF,PHO,25,PHO,123,37,16,704,256,538
537,Tomáš Satoranský,PG,CHI,28,CHI,354,80,7,644,237,551
538,Admiral Schofield,SF,WAS,22,WAS,15,8,4,99,35,92
539,Dennis Schröder,PG,OKC,26,OKC,262,45,14,1229,453,965
540,Mike Scott,PF,PHI,31,PHI,56,21,5,408,149,350
541,Thabo Sefolosha,PF,HOU,35,HOU,25,24,12,92,37,91
542,Collin Sexton,SG,CLE,21,CLE,192,65,7,1349,513,1086
543,Landry Shamet,SG,LAC,22,LAC,99,20,10,492,158,391
544,Marial Shayok,SG,PHI,24,PHI,1,0,1,11,3,12
545,Iman Shumpert,SG,BRK,29,BRK,12,12,2,54,21,64
546,Pascal Siakam,PF,TOR,25,TOR,207,61,53,1371,500,1104
547,Chris Silva,PF,MIA,23,MIA,23,9,21,133,48,78
548,Ben Simmons,PG,PHI,23,PHI,455,119,33,937,375,647
549,Anfernee Simons,SG,POR,20,POR,97,26,10,579,214,536
550,Alen Smailagić,PF,GSW,19,GSW,13,3,4,59,20,40
551,Marcus Smart,SG,BOS,25,BOS,291,101,29,776,256,682
552,Dennis Smith Jr.,PG,NYK,22,NYK,98,28,8,187,72,211
553,Ish Smith,PG,WAS,31,WAS,334,59,30,740,308,689
554,J.R. Smith,SG,LAL,34,LAL,3,1,0,17,7,22
555,Zhaire Smith,SG,PHI,20,PHI,2,3,0,8,3,11
556,Tony Snell,SF,DET,28,DET,127,32,15,474,170,382
557,Omari Spellman,PF,GSW,22,GSW,47,33,24,370,127,295
558,Max Strus,SG,CHI,23,CHI,0,0,0,5,2,3
559,Edmond Sumner,PG,IND,24,IND,55,15,9,152,61,142
560,Caleb Swanigan,PF,TOT,22,TOT,31,3,7,65,28,47
561,Caleb Swanigan,PF,SAC,22,SAC,2,1,2,5,2,4
562,Caleb Swanigan,PF,POR,22,POR,29,2,5,60,26,43
563,Jayson Tatum,PF,BOS,21,BOS,200,93,57,1547,552,1226
564,Jeff Teague,PG,TOT,31,TOT,308,44,19,641,213,489
565,Jeff Teague,PG,MIN,31,MIN,208,25,13,448,145,324
566,Jeff Teague,PG,ATL,31,ATL,100,19,6,193,68,165
567,Garrett Temple,SG,BRK,33,BRK,156,49,29,641,222,587
568,Daniel Theis,C,BOS,27,BOS,111,37,84,601,241,426
569,Isaiah Thomas,PG,WAS,30,WAS,146,13,6,488,174,426
570,Khyri Thomas,SG,DET,23,DET,3,3,0,17,5,17
571,Lance Thomas,SF,BRK,31,BRK,6,0,0,24,8,23
572,Matt Thomas,SG,TOR,25,TOR,22,10,1,202,73,150
573,Tristan Thompson,C,CLE,28,CLE,120,33,50,684,288,562
574,Sindarius Thornwell,SG,NOP,25,NOP,4,1,1,16,6,11
575,Matisse Thybulle,SG,PHI,22,PHI,79,94,47,305,112,265
576,Anthony Tolliver,PF,TOT,34,TOT,42,19,11,200,65,182
577,Anthony Tolliver,PF,POR,34,POR,29,8,9,129,43,117
578,Anthony Tolliver,PF,SAC,34,SAC,3,4,1,9,3,17
579,Anthony Tolliver,PF,MEM,34,MEM,10,7,1,62,19,48
580,Juan Toscano-Anderson,SF,GSW,26,GSW,26,13,5,69,29,63
581,Karl-Anthony Towns,C,MIN,24,MIN,153,33,42,926,316,622
582,Gary Trent Jr.,SG,POR,21,POR,61,48,16,541,196,441
583,Allonzo Trier,PG,NYK,24,NYK,28,3,4,155,51,106
584,P.J. Tucker,PF,HOU,34,HOU,115,77,36,500,177,426
585,Rayjon Tucker,SG,UTA,22,UTA,5,1,1,62,20,43
586,Evan Turner,PG,ATL,31,ATL,38,9,8,62,25,67
587,Myles Turner,C,IND,23,IND,72,46,132,749,268,587
588,Jarrod Uthoff,SF,TOT,26,TOT,0,1,0,19,7,18
589,Jarrod Uthoff,SF,MEM,26,MEM,0,1,0,4,1,7
590,Jarrod Uthoff,SF,WAS,26,WAS,0,0,0,15,6,11
591,Jonas Valančiūnas,C,MEM,27,MEM,131,30,76,1044,432,739
592,Denzel Valentine,SF,CHI,26,CHI,43,26,6,246,97,237
593,Jarred Vanderbilt,SF-PF,TOT,20,TOT,2,3,1,12,5,8
594,Jarred Vanderbilt,SF,DEN,20,DEN,2,3,1,10,5,7
595,Jarred Vanderbilt,PF,MIN,20,MIN,0,0,0,2,0,1
596,Fred VanVleet,PG,TOR,25,TOR,357,100,17,952,319,773
597,Gabe Vincent,PG,MIA,23,MIA,6,5,0,22,8,37
598,Noah Vonleh,C-PF,TOT,24,TOT,28,11,6,132,52,92
599,Noah Vonleh,C,MIN,24,MIN,26,11,6,119,47,86
600,Noah Vonleh,PF,DEN,24,DEN,2,0,0,13,5,6
601,Nikola Vučević,C,ORL,29,ORL,222,54,47,1215,493,1033
602,Dean Wade,PF,CLE,23,CLE,2,2,4,20,9,13
603,Moritz Wagner,C,WAS,22,WAS,56,28,19,393,145,266
604,Dion Waiters,SG,TOT,28,TOT,20,4,6,111,41,99
605,Dion Waiters,SG,MIA,28,MIA,3,0,2,28,10,26
606,Dion Waiters,SG,LAL,28,LAL,17,4,4,83,31,73
607,Kemba Walker,PG,BOS,29,BOS,268,48,28,1145,378,889
608,Lonnie Walker,SG,SAS,21,SAS,68,32,14,389,152,357
609,Tyrone Wallace,SG,ATL,25,ATL,13,7,1,40,14,44
610,Taurean Prince,SF,BRK,25,BRK,116,57,25,773,278,739
611,Derrick Walton,PG,TOT,24,TOT,27,7,0,53,18,39
612,Derrick Walton,PG,LAC,24,LAC,22,4,0,50,17,36
613,Derrick Walton,PG,DET,24,DET,5,3,0,3,1,3
614,Brad Wanamaker,PG,BOS,30,BOS,179,61,14,487,162,362
615,T.J. Warren,SF,IND,26,IND,99,78,34,1326,534,997
616,P.J. Washington,PF,CHO,21,CHO,123,51,44,710,268,589
617,Yuta Watanabe,SG,MEM,25,MEM,5,5,1,36,15,34
618,Tremont Waters,PG,BOS,22,BOS,16,10,2,40,14,49
619,Paul Watson,SF-SG,TOT,25,TOT,8,4,1,31,10,26
620,Paul Watson,SG,ATL,25,ATL,3,1,0,0,0,7
621,Paul Watson,SF,TOR,25,TOR,5,3,1,31,10,19
622,Quinndary Weatherspoon,SG,SAS,23,SAS,11,3,1,12,5,17
623,Russell Westbrook,PG,HOU,31,HOU,401,93,20,1553,604,1281
624,Coby White,SG,CHI,19,CHI,175,49,6,859,312,792
625,Derrick White,SG,SAS,25,SAS,241,44,59,765,253,552
626,Hassan Whiteside,C,POR,30,POR,78,26,196,1040,436,702
627,Andrew Wiggins,SF-SG,TOT,24,TOT,198,45,53,1175,437,978
628,Andrew Wiggins,SF,MIN,24,MIN,155,29,36,942,351,790
629,Andrew Wiggins,SG,GSW,24,GSW,43,16,17,233,86,188
630,Grant Williams,PF,BOS,21,BOS,68,30,36,237,87,211
631,Johnathan Williams,C,WAS,24,WAS,8,1,8,45,19,34
632,Kenrich Williams,PF,NOP,25,NOP,57,27,21,136,51,147
633,Lou Williams,SG,LAC,33,LAC,365,43,12,1185,391,936
634,Marvin Williams,PF,TOT,33,TOT,60,36,30,343,119,267
635,Marvin Williams,PF,CHO,33,CHO,41,26,22,275,94,210
636,Marvin Williams,PF,MIL,33,MIL,19,10,8,68,25,57
637,Robert Williams,C,BOS,22,BOS,27,22,35,150,64,88
638,Nigel Williams-Goss,PG,UTA,25,UTA,6,3,1,14,5,16
639,Zion Williamson,PF,NOP,19,NOP,50,16,9,540,210,360
640,D.J. Wilson,PF,MIL,23,MIL,25,3,5,133,52,132
641,Justise Winslow,SF,MIA,23,MIA,44,7,5,124,50,129
642,Christian Wood,PF,DET,24,DET,60,34,54,810,288,508
643,Delon Wright,SG,DAL,27,DAL,244,85,22,504,190,411
644,Justin Wright-Foreman,PG,UTA,22,UTA,7,2,0,19,7,20
645,Thaddeus Young,PF,CHI,31,CHI,117,92,23,659,269,601
646,Trae Young,PG,ATL,21,ATL,560,65,8,1778,546,1249
647,Cody Zeller,C,CHO,27,CHO,88,40,25,642,251,479
648,Tyler Zeller,C,SAS,30,SAS,0,0,0,2,1,4
649,Ante Žižić,C,CLE,23,CLE,6,7,5,96,41,72
650,Ivica Zubac,C,LAC,22,LAC,82,16,66,596,236,385
